PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
127,10/16/2021,11:18.0,5,1,"Tremain, Cole",1000039250,Right,SAC_STA,"Zobac, Steven",1000039356,Left,GOL_PRA,Undefined,4,Top,1,0,0,Slider,Curveball,HitByPitch,Undefined,Undefined,Undefined,0,0,,74.93228,0.444531,-2.29527,2641.908455,53.474541,7:45,5.23002,1.22731,5.21511,-63.31062,-12.16749,-18.49769,0.37246,-2.47351,69.5008,-10.920144,-5.578042,0.514713,,,,,,,,,,,,8.70516,-5.92989,-1.00048,50,5.22262,5.04502,-108.79969,-1.27926,10.39187,19.81724,-39.25291,SAC_STA,GOL_PRA,Hornet Stadium,TeamExclusive,Team,20211016-Hornet Stadium-Private-1,9ae2e9c0-2ec5-11ec-8902-b5e97332f6b2,73.23001,,,5.43148,,,,,,,c123ba87-435d-4a93-b8ea-ab72b5d04016,10/16/2021,11:18.0,2021-10-16T14:11:17.9743912-07:00,2021-10-16T21:11:17.9743912Z,,v3,HOR,,,"Bacho, Dawson",1000113307,Right,SAC_STA,8834c6c1-fc6d-4c1a-a5b6-c235cce43994,55.28879,-109.75879,9.90862,5.23857,0.62047,-19.62645,-1.23247,4.54209,5.19594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
128,10/16/2021,12:46.9,6,1,"Tremain, Cole",1000039250,Right,SAC_STA,"Crawford, Carson",,Right,GOL_PRA,Undefined,4,Top,1,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.68585,0.533688,-1.397384,2620.867049,65.127568,8:15,5.26413,1.31007,5.07553,-58.08519,-7.67914,-19.91792,0.92698,-1.66735,69.88018,-9.91257,-4.923917,0.510991,,,,,,,,,,,,9.57382,-3.59355,-1.16096,50,5.26834,3.44911,-109.87949,-0.9812,11.65079,20.30645,-36.5472,SAC_STA,GOL_PRA,Hornet Stadium,TeamExclusive,Team,20211016-Hornet Stadium-Private-1,cfdc7790-2ec5-11ec-8902-b5e97332f6b2,73.76348,,,5.80566,,,,,,,c123ba87-435d-4a93-b8ea-ab72b5d04016,10/16/2021,12:46.9,2021-10-16T14:12:46.8715688-07:00,2021-10-16T21:12:46.8715688Z,,v3,HOR,,,"Bacho, Dawson",1000113307,Right,SAC_STA,e975cfec-cc4e-442e-890b-8a9b385d5df8,55.42681,-110.87786,10.15323,5.27241,0.81566,-18.2736,-1.31645,2.8763,5.82539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
129,10/16/2021,13:04.2,6,2,"Tremain, Cole",1000039250,Right,SAC_STA,"Crawford, Carson",,Right,GOL_PRA,Undefined,4,Top,1,1,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.77116,-0.465275,0.644083,2621.232456,62.676561,8:00,5.28636,1.33378,4.86906,-60.99019,-8.89768,-20.4193,-0.23648,0.2417,69.10486,-11.369782,-2.968765,0.519468,,,,,,,,,,,,10.39398,-3.91862,-1.3786,50,5.18806,-0.43138,-108.5406,-3.01163,12.32378,20.08196,-36.82022,SAC_STA,GOL_PRA,Hornet Stadium,TeamExclusive,Team,20211016-Hornet Stadium-Private-1,da39f870-2ec5-11ec-8902-b5e97332f6b2,72.55967,,,5.6663,,,,,,,c123ba87-435d-4a93-b8ea-ab72b5d04016,10/16/2021,13:04.2,2021-10-16T14:13:04.2339496-07:00,2021-10-16T21:13:04.2339496Z,,v3,HOR,,,"Bacho, Dawson",1000113307,Right,SAC_STA,817e56db-34db-4b90-afc4-945e321b4cea,55.63389,-109.57801,10.04098,5.29451,-1.10953,-18.41011,-1.33988,-1.06802,6.16189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
130,10/16/2021,13:44.8,6,3,"Tremain, Cole",1000039250,Right,SAC_STA,"Crawford, Carson",,Right,GOL_PRA,Undefined,4,Top,1,2,0,Fastball,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,87.21505,-1.858259,-2.262963,1920.580775,230.887657,1:45,5.54211,1.05376,5.7522,-25.00608,11.65009,13.0065,1.72645,0.02993,80.53353,-6.490254,0.065472,0.435758,,,,,,,,,,,,-7.24622,6.74296,-0.87413,50,5.37245,4.47359,-126.67321,-4.94389,-11.8737,23.82226,-21.12503,SAC_STA,GOL_PRA,Hornet Stadium,TeamExclusive,Team,20211016-Hornet Stadium-Private-1,f2660510-2ec5-11ec-8902-b5e97332f6b2,86.49863,,,6.68152,,,,,,,c123ba87-435d-4a93-b8ea-ab72b5d04016,10/16/2021,13:44.8,2021-10-16T14:13:44.8065704-07:00,2021-10-16T21:13:44.8065704Z,,v3,HOR,,,"Bacho, Dawson",1000113307,Right,SAC_STA,149e5527-ced5-4b5f-960d-450deaf2272a,54.7475,-127.5629,11.91113,5.54235,-4.15493,-10.56252,-1.04949,4.91703,-5.93685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
131,10/16/2021,14:22.2,7,1,"Tremain, Cole",1000039250,Right,SAC_STA,"Martorella, Nathan",1000039352,Right,GOL_PRA,Undefined,4,Top,2,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.01899,1.140253,-0.12003,2602.739299,69.304256,8:15,5.23822,1.38264,5.10821,-57.39716,-6.33414,-20.86166,1.52955,-0.46892,69.2614,-9.214745,-3.816982,0.51431,,,,,,,,,,,,10.39111,-3.04933,-1.35418,50,5.30041,1.03125,-108.96453,0.2086,12.4801,19.33283,-35.83641,SAC_STA,GOL_PRA,Hornet Stadium,TeamExclusive,Team,20211016-Hornet Stadium-Private-1,08af47f0-2ec6-11ec-8902-b5e97332f6b2,73.28745,,,5.75759,,,,,,,c123ba87-435d-4a93-b8ea-ab72b5d04016,10/16/2021,14:22.2,2021-10-16T14:14:22.1912232-07:00,2021-10-16T21:14:22.1912232Z,,v3,HOR,,,"Bacho, Dawson",1000113307,Right,SAC_STA,a14c119f-6690-4cf6-ac9c-9f35afb1aac7,55.3941,-109.9174,9.66642,5.24659,1.9749,-17.91821,-1.38985,0.41614,6.24005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
132,10/16/2021,14:55.7,7,2,"Tremain, Cole",1000039250,Right,SAC_STA,"Martorella, Nathan",1000039352,Right,GOL_PRA,Undefined,4,Top,2,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.98675,0.07733,-2.355725,2592.725506,53.166491,7:45,5.18935,1.43583,5.32583,-60.03802,-10.61827,-16.11796,0.25881,-2.11907,70.57233,-10.720969,-5.221982,0.505966,,,,,,,,,,,,7.51638,-5.04725,-1.21046,50,5.15229,5.13835,-110.35579,-1.86491,9.25496,19.91851,-38.38876,SAC_STA,GOL_PRA,Hornet Stadium,TeamExclusive,Team,20211016-Hornet Stadium-Private-1,1ca461a0-2ec6-11ec-8902-b5e97332f6b2,74.49595,,,5.41443,,,,,,,c123ba87-435d-4a93-b8ea-ab72b5d04016,10/16/2021,14:55.7,2021-10-16T14:14:55.6713640-07:00,2021-10-16T21:14:55.6713640Z,,v3,HOR,,,"Bacho, Dawson",1000113307,Right,SAC_STA,4201b2d0-4015-4038-8d2f-149491059070,55.17748,-111.28637,9.95925,5.19753,-0.07142,-19.19438,-1.44042,4.70597,4.62748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
133,10/16/2021,15:42.9,7,3,"Tremain, Cole",1000039250,Right,SAC_STA,"Martorella, Nathan",1000039352,Right,GOL_PRA,Undefined,4,Top,2,1,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,73.93423,2.026331,1.690382,2560.519392,59.618746,8:00,5.2825,1.19824,4.86115,-64.20814,-11.148,-21.76875,1.85129,0.98452,68.22028,-9.495085,-2.150356,0.524271,,,,,,,,,,,,11.16686,-5.52945,-1.34542,50,5.42723,-2.30256,-107.30715,1.52761,13.027,18.48163,-38.62457,SAC_STA,GOL_PRA,Hornet Stadium,TeamExclusive,Team,20211016-Hornet Stadium-Private-1,38c59d40-2ec6-11ec-8902-b5e97332f6b2,71.89497,,,5.71395,,,,,,,c123ba87-435d-4a93-b8ea-ab72b5d04016,10/16/2021,15:42.9,2021-10-16T14:15:42.8808872-07:00,2021-10-16T21:15:42.8808872Z,,v3,HOR,,,"Bacho, Dawson",1000113307,Right,SAC_STA,32d28e08-201c-4e3d-b215-5b38707b77f4,55.64266,-108.27463,9.24082,5.29435,3.54954,-19.31229,-1.20703,-2.9845,6.5135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
134,10/16/2021,16:06.1,7,4,"Tremain, Cole",1000039250,Right,SAC_STA,"Martorella, Nathan",1000039352,Right,GOL_PRA,Undefined,4,Top,2,1,2,Slider,Curveball,FoulBall,Undefined,Undefined,Undefined,0,0,,74.49591,1.806581,-0.267548,2601.000321,92.187822,9:00,5.19849,1.35494,5.15591,-49.38562,2.35079,-20.04151,2.78417,-0.56703,68.45189,-7.176301,-3.815511,0.51769,,,,,,,,,,,,10.04067,1.04366,-1.31343,50,5.32899,1.25362,-108.14081,1.79697,11.87952,19.0133,-30.93926,SAC_STA,GOL_PRA,Hornet Stadium,TeamExclusive,Team,20211016-Hornet Stadium-Private-1,469bca20-2ec6-11ec-8902-b5e97332f6b2,72.80894,,,6.04402,,,,,,,c123ba87-435d-4a93-b8ea-ab72b5d04016,10/16/2021,16:06.1,2021-10-16T14:16:06.0820136-07:00,2021-10-16T21:16:06.0820136Z,,v3,HOR,,,"Bacho, Dawson",1000113307,Right,SAC_STA,d2f65217-36ce-47aa-a0d8-47cfda1f7e2c,55.34514,-109.07655,9.50665,5.20308,3.31964,-15.46963,-1.36074,0.66897,5.93976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
135,10/16/2021,16:40.3,7,5,"Tremain, Cole",1000039250,Right,SAC_STA,"Martorella, Nathan",1000039352,Right,GOL_PRA,Undefined,4,Top,2,1,2,Fastball,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,87.91973,-0.241011,-2.432299,1955.867247,226.47183,1:30,5.48542,1.14996,5.99321,-21.73568,14.99985,14.3269,3.45056,0.08851,78.72912,-4.387098,0.141852,0.436229,102.19368,43.734025,24.96741,4878.830535,99.93972,105.65617,45.95667,298.64817,,26.420921,5.855597,-8.19934,8.18079,-0.9662,50,5.45469,4.81549,-127.41069,-1.18197,-13.18928,31.4086,-19.01462,SAC_STA,GOL_PRA,Hornet Stadium,TeamExclusive,Team,20211016-Hornet Stadium-Private-1,5b01a700-2ec6-11ec-8902-b5e97332f6b2,86.40516,134.93217,,9.1906,,,,2.80966,3.56296,-0.08327,c123ba87-435d-4a93-b8ea-ab72b5d04016,10/16/2021,16:40.3,2021-10-16T14:16:40.3050152-07:00,2021-10-16T21:16:40.3050152Z,FlyBall,v3,HOR,,,"Bacho, Dawson",1000113307,Right,SAC_STA,f58cb831-2426-490e-ac8a-09c1896395b1,54.5024,-128.5158,15.7043,5.4845,-0.51294,-9.50731,-1.1438,5.27955,-6.59464,180.952844,2.81967,97.98802,-29.99702,8.84277,-1.75344,0.214,-0.01191,-8.00E-05,2.00E-05,3.5553,103.73832,-24.04847,1.31447,0.20889,-0.13705,0.03325,-0.00399,0.00018,-0.07928,45.63568,-13.58837,4.20323,-0.88886,0.1226,-0.00943,0.0003,0,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
136,10/16/2021,18:52.2,1,1,"Mack, Connor",1000026445,Right,GOL_PRA,"Rolling, Josh",1000113332,Right,SAC_STA,Undefined,4,Bottom,0,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,72.53127,2.227184,-1.466159,2116.202927,45.685841,7:30,5.54869,1.00761,5.6362,-62.74165,-9.68756,-11.38001,2.39976,-1.30885,67.62891,-9.164396,-3.500123,0.524241,,,,,,,,,,,,5.41059,-5.01366,-0.87558,50,5.69774,3.09842,-105.46248,2.15445,6.15587,16.22098,-37.87834,SAC_STA,GOL_PRA,Hornet Stadium,TeamExclusive,Team,20211016-Hornet Stadium-Private-1,a99bb900-2ec6-11ec-8902-b5e97332f6b2,71.89909,,,4.90236,,,,,,,c123ba87-435d-4a93-b8ea-ab72b5d04016,10/16/2021,18:52.2,2021-10-16T14:18:52.2076840-07:00,2021-10-16T21:18:52.2076840Z,,v3,HOR,,,"Elvis, Cole",8898750,Right,GOL_PRA,44c4119e-daf8-41df-9f97-61242a586eee,54.86727,-106.20846,8.11049,5.5586,3.89644,-18.93917,-1.01156,2.81532,3.07794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
137,10/16/2021,19:07.6,1,2,"Mack, Connor",1000026445,Right,GOL_PRA,"Rolling, Josh",1000113332,Right,SAC_STA,Undefined,4,Bottom,0,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.6307,-0.566669,-2.888846,2122.745417,226.415783,1:30,5.44378,1.14524,5.83782,-38.69014,2.89323,1.83331,1.69224,-1.38919,75.86049,-7.653932,-2.560345,0.464121,,,,,,,,,,,,-1.64567,1.97894,-0.91077,50,5.37461,5.91527,-118.60637,-2.43985,-2.37197,20.16954,-29.32174,SAC_STA,GOL_PRA,Hornet Stadium,TeamExclusive,Team,20211016-Hornet Stadium-Private-1,b2c91e50-2ec6-11ec-8902-b5e97332f6b2,81.21249,,,5.77021,,,,,,,c123ba87-435d-4a93-b8ea-ab72b5d04016,10/16/2021,19:07.6,2021-10-16T14:19:07.5605160-07:00,2021-10-16T21:19:07.5605160Z,,v3,HOR,,,"Elvis, Cole",8898750,Right,GOL_PRA,bcda7f2b-e075-47af-9d41-b48b845e8330,54.66173,-119.39649,10.08477,5.44769,-1.29121,-14.66087,-1.14431,6.00819,-1.18598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
138,10/16/2021,19:24.0,1,3,"Mack, Connor",1000026445,Right,GOL_PRA,"Rolling, Josh",1000113332,Right,SAC_STA,Undefined,4,Bottom,0,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.05519,-0.002663,-2.518018,2077.518349,80.187668,8:45,5.41674,1.04432,5.71562,-43.37215,0.46067,-5.0052,1.79991,-1.71993,73.79443,-7.939308,-3.412944,0.476509,,,,,,,,,,,,1.85571,0.6526,-0.83055,50,5.3897,5.30437,-116.22782,-1.43724,2.54205,21.49658,-31.28008,SAC_STA,GOL_PRA,Hornet Stadium,TeamExclusive,Team,20211016-Hornet Stadium-Private-1,bc8c5b00-2ec6-11ec-8902-b5e97332f6b2,79.10122,,,6.26077,,,,,,,c123ba87-435d-4a93-b8ea-ab72b5d04016,10/16/2021,19:24.0,2021-10-16T14:19:23.9833768-07:00,2021-10-16T21:19:23.9833768Z,,v3,HOR,,,"Elvis, Cole",8898750,Right,GOL_PRA,d31b7451-f857-418d-9893-8833744f804e,54.78298,-117.1091,10.74829,5.42234,-0.15488,-15.64004,-1.04587,5.20015,1.27102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
139,10/16/2021,19:39.3,1,4,"Mack, Connor",1000026445,Right,GOL_PRA,"Rolling, Josh",1000113332,Right,SAC_STA,Undefined,4,Bottom,0,1,1,Fastball,Changeup,InPlay,Undefined,GroundBall,Single,0,0,,85.17946,-1.061055,-1.670466,2063.336246,243.728516,2:00,5.50742,1.03652,6.10387,-28.83943,9.28398,16.40851,2.12238,0.85866,78.18805,-6.43716,1.288334,0.444393,98.73617,6.508849,-27.617233,1500.102178,,,,111.39484,,-30.018444,0.866508,-8.9917,5.43701,-0.91687,50,5.41063,2.98158,-123.7971,-3.18984,-13.96049,24.60742,-23.73253,SAC_STA,GOL_PRA,Hornet Stadium,TeamExclusive,Team,20211016-Hornet Stadium-Private-1,c5b6da20-2ec6-11ec-8902-b5e97332f6b2,84.81781,4.85422,,6.99142,,,,1.7059,1.94265,-0.66344,c123ba87-435d-4a93-b8ea-ab72b5d04016,10/16/2021,19:39.3,2021-10-16T14:19:39.3385128-07:00,2021-10-16T21:19:39.3385128Z,LineDrive,v3,HOR,,,"Elvis, Cole",8898750,Right,GOL_PRA,6b7d40c2-90b8-4d5d-86ac-92665075e31e,54.39574,-124.66779,12.30371,5.50864,-2.35011,-11.86626,-1.03111,3.47555,-6.98025,61.146958,1.81298,125.78973,-19.25062,,,,,,,2.02842,15.05492,-20.17836,,,,,,,-0.65611,-66.82199,3.76099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
140,10/16/2021,20:19.4,2,1,"Mack, Connor",1000026445,Right,GOL_PRA,"Torres, Keith",1000113334,Right,SAC_STA,Undefined,4,Bottom,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.28614,-1.531183,-3.186471,2064.15351,230.992139,1:45,5.62507,0.75908,5.94033,-27.43301,11.50942,12.46824,1.91609,-1.16078,77.08786,-6.67372,-0.949089,0.449141,,,,,,,,,,,,-7.38063,6.80382,-0.51179,50,5.48761,6.3657,-123.52557,-4.16381,-11.24353,27.83204,-21.80925,SAC_STA,GOL_PRA,Hornet Stadium,TeamExclusive,Team,20211016-Hornet Stadium-Private-1,dd97acf0-2ec6-11ec-8902-b5e97332f6b2,83.92116,,,8.19828,,,,,,,c123ba87-435d-4a93-b8ea-ab72b5d04016,10/16/2021,20:19.4,2021-10-16T14:20:19.3842856-07:00,2021-10-16T21:20:19.3842856Z,,v3,HOR,,,"Elvis, Cole",8898750,Right,GOL_PRA,e4610d8e-2389-4eff-a269-619160dd4b25,54.55497,-124.54765,13.91602,5.62581,-3.36291,-10.90463,-0.75314,6.77859,-5.62176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
141,10/16/2021,20:39.0,2,2,"Mack, Connor",1000026445,Right,GOL_PRA,"Torres, Keith",1000113334,Right,SAC_STA,Undefined,4,Bottom,0,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,69.94512,3.281712,0.420423,1939.276964,57.204505,8:00,5.52545,0.88453,5.5306,-65.025,-7.27847,-13.94363,3.1778,0.11557,64.55265,-8.559292,-2.066398,0.546933,,,,,,,,,,,,7.12548,-3.9854,-0.91159,50,5.76733,-0.2574,-101.53966,3.84851,7.46302,16.1275,-36.34823,SAC_STA,GOL_PRA,Hornet Stadium,TeamExclusive,Team,20211016-Hornet Stadium-Private-1,e9468d00-2ec6-11ec-8902-b5e97332f6b2,68.91597,,,5.39247,,,,,,,c123ba87-435d-4a93-b8ea-ab72b5d04016,10/16/2021,20:39.0,2021-10-16T14:20:38.9779624-07:00,2021-10-16T21:20:38.9779624Z,,v3,HOR,,,"Elvis, Cole",8898750,Right,GOL_PRA,7e9ea8a8-8791-4f26-94b1-918b0e8e95a9,54.97132,-102.3262,8.06375,5.53641,5.62123,-18.17411,-0.89017,-0.62137,3.73151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
142,10/16/2021,20:56.1,2,3,"Mack, Connor",1000026445,Right,GOL_PRA,"Torres, Keith",1000113334,Right,SAC_STA,Undefined,4,Bottom,0,1,1,Fastball,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,88.2329,-1.483721,-2.874835,2062.655089,224.887877,1:30,5.58422,0.88794,6.01288,-20.91899,15.18501,13.87013,2.46448,-0.62157,79.93098,-5.449418,-0.382574,0.432463,,,,,,,,,,,,-8.02961,8.63532,-0.66992,50,5.45637,5.85272,-127.92566,-3.94353,-13.17174,28.87677,-18.0087,SAC_STA,GOL_PRA,Hornet Stadium,TeamExclusive,Team,20211016-Hornet Stadium-Private-1,f3724f80-2ec6-11ec-8902-b5e97332f6b2,87.15756,,,8.30192,,,,,,,c123ba87-435d-4a93-b8ea-ab72b5d04016,10/16/2021,20:56.1,2021-10-16T14:20:56.1116840-07:00,2021-10-16T21:20:56.1116840Z,,v3,HOR,,,"Elvis, Cole",8898750,Right,GOL_PRA,895a9f3a-59e5-495a-8640-dd772246d96a,54.48421,-128.93391,14.43839,5.58308,-3.31475,-9.00435,-0.8823,6.31262,-6.58587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
143,10/16/2021,21:17.0,2,4,"Mack, Connor",1000026445,Right,GOL_PRA,"Torres, Keith",1000113334,Right,SAC_STA,Undefined,4,Bottom,0,1,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.02199,-2.066444,-3.812398,2078.513503,237.392473,2:00,5.52221,0.89723,6.39795,-24.14753,11.6239,16.23682,1.6045,-1.2609,79.9624,-6.629249,-0.875934,0.430467,,,,,,,,,,,,-9.56477,7.05914,-0.63016,50,5.36261,7.85185,-127.55399,-5.32,-15.62736,28.26816,-20.64047,SAC_STA,GOL_PRA,Hornet Stadium,TeamExclusive,Team,20211016-Hornet Stadium-Private-1,004b0990-2ec7-11ec-8902-b5e97332f6b2,87.56182,,,8.05959,,,,,,,c123ba87-435d-4a93-b8ea-ab72b5d04016,10/16/2021,21:17.0,2021-10-16T14:21:16.9861800-07:00,2021-10-16T21:21:16.9861800Z,,v3,HOR,,,"Elvis, Cole",8898750,Right,GOL_PRA,424d1214-c65f-47fb-96fd-70301aede66c,54.0986,-128.4591,14.13408,5.52237,-4.65911,-10.32024,-0.88958,8.35222,-7.81368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
144,10/16/2021,21:39.2,2,5,"Mack, Connor",1000026445,Right,GOL_PRA,"Torres, Keith",1000113334,Right,SAC_STA,Undefined,4,Bottom,0,2,2,ChangeUp,Curveball,InPlay,Undefined,FlyBall,Out,1,0,,78.33877,0.012497,-2.110227,1906.657164,226.000683,1:30,5.31892,0.90123,5.7076,-42.74034,3.15036,1.76347,1.76887,-0.91877,71.94004,-7.836752,-1.794684,0.487566,91.03206,21.446407,4.257575,2899.594748,109.37834,36.39889,11.67711,307.93617,,8.872738,3.708658,-1.50158,1.99256,-0.72557,50,5.29324,4.12534,-113.73672,-1.33282,-1.96331,21.21764,-29.56879,SAC_STA,GOL_PRA,Hornet Stadium,TeamExclusive,Team,20211016-Hornet Stadium-Private-1,0d3094e0-2ec7-11ec-8902-b5e97332f6b2,77.30729,44.23162,,6.39873,,,,2.04504,1.80792,0.90706,c123ba87-435d-4a93-b8ea-ab72b5d04016,10/16/2021,21:39.2,2021-10-16T14:21:39.2450216-07:00,2021-10-16T21:21:39.2450216Z,LineDrive,v3,HOR,,,"Elvis, Cole",8898750,Right,GOL_PRA,5d1f367c-b33c-43dc-ad79-81db2a953061,54.79129,-114.62705,10.60882,5.32313,-0.09206,-14.78439,-0.90041,4.20773,-0.98166,199.662234,2.04517,123.92128,-21.3192,4.73725,-0.92647,0.14139,-0.01117,-0.00064,0.00015,1.80782,48.82133,-14.98451,0.69697,-0.18612,0.10088,-0.03962,0.00812,-0.00065,0.90707,9.22579,1.82207,-0.46662,0.10417,-0.01832,0.00181,0,-1.00E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
145,10/16/2021,22:18.4,3,1,"Mack, Connor",1000026445,Right,GOL_PRA,"Doyle, Trevor",1000113397,Left,SAC_STA,Undefined,4,Bottom,1,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,78.27139,-0.571655,-0.521771,1264.572368,257.669961,2:30,5.41675,1.20281,5.90699,-42.01892,3.51059,9.55717,1.38452,1.51492,72.04348,-8.309781,1.197444,0.485644,,,,,,,,,,,,-5.02252,2.42807,-1.16625,50,5.3471,0.67917,-113.73411,-2.44155,-6.57525,20.9623,-28.99535,SAC_STA,GOL_PRA,Hornet Stadium,TeamExclusive,Team,20211016-Hornet Stadium-Private-1,24829530-2ec7-11ec-8902-b5e97332f6b2,77.61335,,,6.22792,,,,,,,c123ba87-435d-4a93-b8ea-ab72b5d04016,10/16/2021,22:18.4,2021-10-16T14:22:18.3853736-07:00,2021-10-16T21:22:18.3853736Z,,v3,HOR,,,"Elvis, Cole",8898750,Right,GOL_PRA,d3aa71d7-dc62-4282-a8f9-9d8ee9bb720e,54.5906,-114.57708,10.48115,5.42183,-1.27554,-14.49767,-1.19888,0.94359,-3.28762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
